- 5 Rue dArlon L-9155 Grosbous Groussbus: 5 Rue dArlon L-9155 Grosbous Groussbus, Luxembourg
- 23 Zone Industrielle L-8287 Kehlen Kielen: 23 Zone Industrielle L-8287 Kehlen Kielen, Luxembourg
- 1B Route dArlon L-8310 Cap Kap: 1B Route dArlon L-8310 Cap Kap, Luxembourg
- 10 Zone Industrielle L-8821 Koetschette Kietscht: 10 Zone Industrielle L-8821 Koetschette Kietscht, Luxembourg
- 3 Zone dactivité Zare llot Ouest L-4384 Ehlerange Eilereng: 3 Zone dactivité Zare llot Ouest L-4384 Ehlerange Eilereng, Luxembourg
- 12 Gidllewee L-9749 Fischbach Clervaux Féschbech Clidrref: 12 Gidllewee L-9749 Fischbach Clervaux Féschbech Clidrref, Luxembourg
- 10 Route dEttelbruck L-9160 Ingeldorf Angelduerf: 10 Route dEttelbruck L-9160 Ingeldorf Angelduerf, Luxembourg
- 89F Rue Pafebruch L-8308 Capellen Kapellen: 89F Rue Pafebruch L-8308 Capellen Kapellen, Luxembourg
- 2 Am Gassefeld L-5423 Ersange lerseng: 2 Am Gassefeld L-5423 Ersange lerseng, Luxembourg
- in Qa 1.0.2501.2403 Copyright  2025 - Editus Luxembourg S.A. - 208: in Qa 1.0.2501.2403 Copyright 2025 - Editus Luxembourg S.A. - 208, rue de Noertzange L-3670 K
- in ao 1.0.2501.2403 Copyright  2025 - Editus Luxembourg S.A. - 208: in ao 1.0.2501.2403 Copyright 2025 - Editus Luxembourg S.A. - 208, rue de Noertzange L-3670 K
- 13 Rue Neugarten L-9422 Vianden Veinen: 13 Rue Neugarten L-9422 Vianden Veinen, Luxembourg
- 30F Z.A.E. Solupla L-8506 Redange-sur-Attert Réiden Atert: 30F Z.A.E. Solupla L-8506 Redange-sur-Attert Réiden Atert, Luxembourg
- 10 Route dArlon L-7471 Saeul Séll: 10 Route dArlon L-7471 Saeul Séll, Luxembourg
- L-4562 Differdange Déifferdang: L-4562 Differdange Déifferdang, Luxembourg
- 6a Rue Principale L-9806 Hosingen Housen: 6a Rue Principale L-9806 Hosingen Housen, Luxembourg
- 35 Route dEsch L-3230 Bettembourg Beetebuerg: 35 Route dEsch L-3230 Bettembourg Beetebuerg, Luxembourg
- 37-41 Route de lEurope L-5531 Remich Réimech: 37-41 Route de lEurope L-5531 Remich Réimech, Luxembourg
- 12 Route dEttelbruck L-9160 Ingeldorf Angelduerf: 12 Route dEttelbruck L-9160 Ingeldorf Angelduerf, Luxembourg
- 20 Rue dArlon L-9155 Grosbous Groussbus: 20 Rue dArlon L-9155 Grosbous Groussbus, Luxembourg
- 18 Route dEttelbruck L-9230 Diekirch Dikrech: 18 Route dEttelbruck L-9230 Diekirch Dikrech, Luxembourg
- 107 Rue Principale L-9834 Holzthum Holztem: 107 Rue Principale L-9834 Holzthum Holztem, Luxembourg
- 9 Zone dAménag. Concertée Haneboesch II L-4563 Differdange Déifferdang: 9 Zone dAménag. Concertée Haneboesch II L-4563 Differdange Déifferdang, Luxembourg
- 9 Rue Wiltheim L-5465 Waldbredimus Waldbriedemes: 9 Rue Wiltheim L-5465 Waldbredimus Waldbriedemes, Luxembourg
- fe ia  4lA Zone Industrielle L-8287 Kehlen Kielen: fe ia 4lA Zone Industrielle L-8287 Kehlen Kielen, Luxembourg
- semen 36 Route dEttelbruck L-9230 Diekirch Dikrech: semen 36 Route dEttelbruck L-9230 Diekirch Dikrech, Luxembourg
- v ATMEC 17 Route dEchternach L-6212 Consdorf Konsdref: v ATMEC 17 Route dEchternach L-6212 Consdorf Konsdref, Luxembourg
- ciassic wonnsuoe L-4984 Sanem Suessem: ciassic wonnsuoe L-4984 Sanem Suessem, Luxembourg
- oe 1 Zone Industrielle op Stackem L-9952 Drinklange Drénkelt: oe 1 Zone Industrielle op Stackem L-9952 Drinklange Drénkelt, Luxembourg
- slectricite générale. 1 Um Klaeppchen L-5720 Aspelt Uespelt: slectricite générale. 1 Um Klaeppchen L-5720 Aspelt Uespelt, Luxembourg
- scumgasSsaa 93 Route de Tréves L-6793 Grevenmacher Gréiwemaacher: scumgasSsaa 93 Route de Tréves L-6793 Grevenmacher Gréiwemaacher, Luxembourg
- scedert Bere lEurope L-5531 Remich Réimech: scedert Bere lEurope L-5531 Remich Réimech, Luxembourg
- muibieedll 140A Route dEsch L-1471 Luxembourg Létzebuerg: muibieedll 140A Route dEsch L-1471 Luxembourg Létzebuerg
- 307 Rue Woiwer L-4687 Differdange Déifferdang: 307 Rue Woiwer L-4687 Differdange Déifferdang, Luxembourg
- 4 Rue dell L-8509 Redange-sur-Attert Réiden Atert: 4 Rue dell L-8509 Redange-sur-Attert Réiden Atert, Luxembourg
- 32 Route dErpeldange L-9518 Weidingen Wegdichen: 32 Route dErpeldange L-9518 Weidingen Wegdichen, Luxembourg
- UN 124 Wdistrooss L-5440 Remerschen Remerschen: UN 124 Wdistrooss L-5440 Remerschen Remerschen, Luxembourg
- 57 Zone Industrielle L-9099 Ingeldorf Angelduerf: 57 Zone Industrielle L-9099 Ingeldorf Angelduerf, Luxembourg
- Garage Grasges Prekich 86 Route dEttelbruck L-9230 Diekirch Dikrech: Garage Grasges Prekich 86 Route dEttelbruck L-9230 Diekirch Dikrech, Luxembourg
- canace 1 Zone Industrielle Hahneboesch L-4562 Differdange Déifferdang: canace 1 Zone Industrielle Hahneboesch L-4562 Differdange Déifferdang, Luxembourg
- 30 Route dEttelbruck L-9230 Diekirch Dikrech: 30 Route dEttelbruck L-9230 Diekirch Dikrech, Luxembourg
